Datum,Warengruppe,Umsatz
2015-01-02,1,160.560057405853
2015-01-03,1,127.111855249198
2015-01-05,1,180.519039980623
2015-01-06,1,123.194316768253
2015-01-07,1,132.322504063928
2015-01-08,1,113.305774784248
2015-01-09,1,85.2846088071515
2015-01-10,1,52.0968564910799
2015-01-12,1,105.589642178473
2015-01-13,1,125.370206414039
2015-01-14,1,106.603640678543
2015-01-15,1,68.9431383793085
2015-01-16,1,114.658851166938
2015-01-17,1,121.079382607358
2015-01-19,1,204.458381503707
2015-01-20,1,148.95512702025
2015-01-21,1,126.620550097632
2015-01-22,1,136.32569243506
2015-01-23,1,139.898248687405
2015-01-24,1,77.9269508008394
2015-01-26,1,195.073245725753
2015-01-27,1,163.655908369275
2015-01-28,1,142.006386501943
2015-01-29,1,72.2907877082481
2015-01-30,1,119.262216086468
2015-01-31,1,137.234796531843
2015-02-02,1,174.771245361628
2015-02-03,1,155.444380215784
2015-02-04,1,152.334537674443
2015-02-05,1,120.326714824454
2015-02-06,1,129.636459218973
2015-02-07,1,115.813988034974
2015-02-09,1,200.640787976084
2015-02-10,1,155.179927283634
2015-02-11,1,132.578465557394
2015-02-12,1,140.45030924342
2015-02-13,1,129.487531162699
2015-02-14,1,155.637808420617
2015-02-16,1,215.740439498669
2015-02-17,1,165.719893954229
2015-02-18,1,92.1274480059098
2015-02-19,1,155.737019929372
2015-02-20,1,137.659010308076
2015-02-21,1,92.5630144593017
2015-02-23,1,124.99622756838
2015-02-24,1,141.223204588496
2015-02-25,1,86.7984856789587
2015-02-26,1,115.838864050102
2015-02-27,1,122.8267021732
2015-02-28,1,169.185470431004
2015-03-01,1,49.244308204041
2015-03-02,1,148.837541785562
2015-03-03,1,104.930208549724
2015-03-04,1,130.288613338418
2015-03-05,1,140.990710587532
2015-03-06,1,110.731108399636
2015-03-07,1,119.381114244474
2015-03-09,1,173.859553835689
2015-03-10,1,130.581747604075
2015-03-11,1,99.5685974087692
2015-03-12,1,130.618260436736
2015-03-13,1,99.3108474888152
2015-03-14,1,140.717578801402
2015-03-16,1,220.646066507696
2015-03-17,1,174.723505029242
2015-03-18,1,166.363312390778
2015-03-19,1,130.572098753237
2015-03-20,1,146.527443426628
2015-03-21,1,119.64501725932
2015-03-23,1,161.20190002666
2015-03-24,1,212.358807284444
2015-03-25,1,161.760301458286
2015-03-26,1,158.025405544352
2015-03-27,1,180.904022953247
2015-03-28,1,127.688317486425
2015-03-30,1,173.412146126901
2015-03-31,1,147.80818796822
2015-04-01,1,103.185150115277
2015-04-02,1,264.689984258927
2015-04-04,1,283.249528494735
2015-04-05,1,61.1372362170137
2015-04-07,1,181.748371374999
2015-04-08,1,121.763428400733
2015-04-09,1,100.254185120771
2015-04-10,1,140.390062453522
2015-04-11,1,149.138190430178
2015-04-13,1,150.161846791832
2015-04-14,1,128.69343154089
2015-04-15,1,124.188304963318
2015-04-16,1,98.6530321328184
2015-04-17,1,137.974360973596
2015-04-18,1,97.2470208025614
2015-04-20,1,191.122332090247
2015-04-21,1,157.395067488188
2015-04-22,1,153.92119963981
2015-04-23,1,117.644074634298
2015-04-24,1,111.855984013389
2015-04-25,1,86.5081902419786
2015-04-27,1,167.462015216142
2015-04-28,1,141.384704128799
2015-04-29,1,131.052191358791
2015-04-30,1,139.817067446885
2015-05-02,1,158.489986585847
2015-05-03,1,69.1707804066242
2015-05-04,1,223.055199353166
2015-05-05,1,136.359680225193
2015-05-06,1,164.840025160798
2015-05-07,1,149.684515774589
2015-05-08,1,112.757040411529
2015-05-09,1,86.887173608443
2015-05-11,1,196.822118192081
2015-05-12,1,115.557941815032
2015-05-13,1,159.956644393415
2015-05-15,1,143.179806469236
2015-05-16,1,92.8411589881832
2015-05-18,1,174.95244101985
2015-05-19,1,97.3468246158433
2015-05-20,1,162.316821062421
2015-05-21,1,113.443688684428
2015-05-22,1,121.520177591984
2015-05-23,1,143.300112864663
2015-05-26,1,211.849682542958
2015-05-27,1,140.829602684755
2015-05-28,1,112.329553476743
2015-05-29,1,94.1201136134627
2015-05-30,1,132.022656085399
2015-06-01,1,211.258466154688
2015-06-02,1,130.173857688957
2015-06-03,1,147.271413683069
2015-06-04,1,120.095849870426
2015-06-05,1,77.1883964119397
2015-06-06,1,92.3490096951913
2015-06-07,1,61.6190537568894
2015-06-08,1,69.4537410705928
2015-06-09,1,158.843685847748
2015-06-10,1,98.8005542471658
2015-06-11,1,133.544201200512
2015-06-12,1,74.3020825721868
2015-06-13,1,115.348908769279
2015-06-15,1,204.43848071561
2015-06-16,1,134.586258433802
2015-06-17,1,90.6127930983273
2015-06-18,1,148.7463373983
2015-06-19,1,105.110122646451
2015-06-20,1,132.732462762822
2015-06-21,1,125.110873490131
2015-06-22,1,198.816219024149
2015-06-23,1,136.92993895881
2015-06-24,1,135.727819128486
2015-06-25,1,154.140102629852
2015-06-26,1,175.643808988854
2015-06-27,1,156.12552791289
2015-06-29,1,163.519832244742
2015-06-30,1,119.044155629501
2015-07-01,1,112.687530611674
2015-07-02,1,115.044129959481
2015-07-03,1,125.201229830847
2015-07-04,1,119.721678317577
2015-07-05,1,55.2756648432941
2015-07-06,1,199.505235314658
2015-07-07,1,124.301991778204
2015-07-08,1,105.351628346356
2015-07-09,1,156.361976670134
2015-07-10,1,127.102993819103
2015-07-11,1,122.469445739745
2015-07-13,1,194.789459328623
2015-07-14,1,115.896032937766
2015-07-15,1,146.714152687013
2015-07-16,1,94.5062750122271
2015-07-17,1,117.004089163681
2015-07-18,1,136.883930602096
2015-07-20,1,174.844238177435
